"filename", "language", "Go Checksum File", "Go", "comment", "blank", "total"
"/home/angrycompany16/ntnu/TTK4145-sanntidslab/distribute/backup.go", "Go", 0, -26, -3, -7, -36
"/home/angrycompany16/ntnu/TTK4145-sanntidslab/distribute/network.go", "Go", 0, -214, -17, -48, -279
"/home/angrycompany16/ntnu/TTK4145-sanntidslab/elev_al_go/fsm.go", "Go", 0, -4, 6, 4, 6
"/home/angrycompany16/ntnu/TTK4145-sanntidslab/elev_al_go/lights.go", "Go", 0, 31, 2, 7, 40
"/home/angrycompany16/ntnu/TTK4145-sanntidslab/go.sum", "Go Checksum File", -34, 0, 0, 0, -34
"/home/angrycompany16/ntnu/TTK4145-sanntidslab/main.go", "Go", 0, 19, -1, 4, 22
"/home/angrycompany16/ntnu/TTK4145-sanntidslab/p2p/heartbeats.go", "Go", 0, 65, 2, 21, 88
"/home/angrycompany16/ntnu/TTK4145-sanntidslab/p2p/node.go", "Go", 0, 189, 36, 37, 262
"/home/angrycompany16/ntnu/TTK4145-sanntidslab/p2p/peer.go", "Go", 0, 55, 0, 12, 67
"/home/angrycompany16/ntnu/TTK4145-sanntidslab/p2p/requests.go", "Go", 0, 26, 0, 7, 33
"/home/angrycompany16/ntnu/TTK4145-sanntidslab/utils/utils.go", "Go", 0, 28, 1, 5, 34
"Total", "-", -34, 169, 26, 42, 203